Название,Ссылка,shit,crap,Рейтинг,Смотрящих,Аудитория,Сезонов,Год,dell
Время Эплдог и ДТ  Go Go Squid 2: Dt.Appledog's Time,https://myshows.me/view/71627/,['catalogTableSubHeader'],,"['stars', '_4']",58,0.01%,1,2021,
Дорогой Уран  Dear Uranus,https://myshows.me/view/72154/,['catalogTableSubHeader'],,"['stars', '_4']",48,0.01%,1,2021,
Заставь мое сердце улыбаться  Make My Heart Smile,https://myshows.me/view/71795/,['catalogTableSubHeader'],,"['stars', '_4']",45,0.01%,1,2021,
Мира Мира  Mira Mira,https://myshows.me/view/72244/,['catalogTableSubHeader'],,"['stars', '_3']",43,0.01%,1,2021,
Тренер Купидон  The Cupid Coach,https://myshows.me/view/70869/,['catalogTableSubHeader'],,"['stars', '_4']",36,0.01%,1,2021,
Исабель: Частная жизнь писательницы Исабель Альенде  Isabel: La Historia Íntima de la Escritora Isabel Allende,https://myshows.me/view/72029/,['catalogTableSubHeader'],,"['stars', '_4']",36,0.01%,1,2021,
Дураки  FOOLs - Những Kẻ Khờ,https://myshows.me/view/71344/,['catalogTableSubHeader'],,"['stars', '_3']",30,0%,1,2021,
Райское местечко   For Heaven's Sake,https://myshows.me/view/71935/,['catalogTableSubHeader'],,"['stars', '_4']",28,0%,1,2021,
Джон Уэйн Гейси: Замаскированный дьявол  John Wayne Gacy: Devil in Disguise,https://myshows.me/view/72220/,['catalogTableSubHeader'],,"['stars', '_3']",27,0%,1,2021,
Любовная сделка: Легко купить-продать любовь  Deal Lover,https://myshows.me/view/71560/,['catalogTableSubHeader'],,"['stars', '_3']",26,0%,1,2021,
Плохой сосед  Bad Roommate,https://myshows.me/view/72311/,['catalogTableSubHeader'],,"['stars', '_3']",10,0%,1,2021,
Моя любовь: шесть историй о настоящей любви  My Love: Six Stories of True Love,https://myshows.me/view/72731/,['catalogTableSubHeader'],,"['stars', '_4']",9,0%,1,2021,
Назад в 2008  Back to the 2008,https://myshows.me/view/71804/,['catalogTableSubHeader'],,"['stars', '_4']",8,0%,1,2021,
Ход королевы  The Queen's Gambit,https://myshows.me/view/68896/,['catalogTableSubHeader'],,"['stars', '_5']",68 475,9.72%,1,2020,
Мне это не нравится  I Am Not Okay With This,https://myshows.me/view/65238/,['catalogTableSubHeader'],,"['stars', '_4']",33 100,4.7%,1,2020,
Защищая Джейкоба  Defending Jacob,https://myshows.me/view/65207/,['catalogTableSubHeader'],,"['stars', '_4']",27 357,3.88%,1,2020,
И повсюду тлеют пожары  Little Fires Everywhere,https://myshows.me/view/64712/,['catalogTableSubHeader'],,"['stars', '_4']",25 277,3.59%,1,2020,
Отыграть назад  The Undoing,https://myshows.me/view/65309/,['catalogTableSubHeader'],,"['stars', '_4']",20 515,2.91%,1,2020,
Чужак  The Outsider,https://myshows.me/view/64043/,['catalogTableSubHeader'],,"['stars', '_4']",20 147,2.86%,1,2020,
Дивный новый мир  Brave New World,https://myshows.me/view/66531/,['catalogTableSubHeader'],,"['stars', '_4']",19 717,2.8%,1,2020,
Призраки поместья Блай  The Haunting of Bly Manor,https://myshows.me/view/68954/,['catalogTableSubHeader'],,"['stars', '_4']",17 886,2.54%,1,2020,
Hi-Fi  High Fidelity,https://myshows.me/view/64258/,['catalogTableSubHeader'],,"['stars', '_4']",16 014,2.27%,1,2020,
Голливуд  Hollywood,https://myshows.me/view/64386/,['catalogTableSubHeader'],,"['stars', '_4']",15 038,2.13%,1,2020,
Неортодоксальная  Unorthodox,https://myshows.me/view/66165/,['catalogTableSubHeader'],,"['stars', '_4']",12 393,1.76%,1,2020,
Цепляясь за лёд  Spinning Out,https://myshows.me/view/64248/,['catalogTableSubHeader'],,"['stars', '_4']",11 430,1.62%,1,2020,
Разрабы  Devs,https://myshows.me/view/64796/,['catalogTableSubHeader'],,"['stars', '_4']",11 414,1.62%,1,2020,
Противостояние  The Stand,https://myshows.me/view/64036/,['catalogTableSubHeader'],,"['stars', '_3']",10 057,1.43%,1,2020,
Ваша честь  Your Honor,https://myshows.me/view/70160/,['catalogTableSubHeader'],,"['stars', '_4']",8 923,1.27%,1,2020,
Бульварные ужасы: Город ангелов  Penny Dreadful: City of Angels,https://myshows.me/view/65142/,['catalogTableSubHeader'],,"['stars', '_4']",8 746,1.24%,1,2020,
Кэти Кин  Katy Keene,https://myshows.me/view/62945/,['catalogTableSubHeader'],,"['stars', '_4']",8 136,1.15%,1,2020,
Незнакомка	  The Stranger,https://myshows.me/view/64654/,['catalogTableSubHeader'],,"['stars', '_4']",7 305,1.04%,1,2020,
Третий день  The Third Day,https://myshows.me/view/65547/,['catalogTableSubHeader'],,"['stars', '_3']",7 093,1.01%,1,2020,
Беги  RUN,https://myshows.me/view/65447/,['catalogTableSubHeader'],,"['stars', '_3']",6 609,0.94%,1,2020,
Беспорядок после тебя  El desorden que dejas,https://myshows.me/view/70369/,['catalogTableSubHeader'],,"['stars', '_4']",6 359,0.9%,1,2020,
"Мы те, кто мы есть  We Are Who We Are",https://myshows.me/view/68209/,['catalogTableSubHeader'],,"['stars', '_4']",5 489,0.78%,1,2020,
Мессия  Messiah,https://myshows.me/view/64559/,['catalogTableSubHeader'],,"['stars', '_4']",5 288,0.75%,1,2020,
Миссис Америка  Mrs. America,https://myshows.me/view/65070/,['catalogTableSubHeader'],,"['stars', '_4']",5 055,0.72%,1,2020,
Последний танец	  The Last Dance,https://myshows.me/view/66246/,['catalogTableSubHeader'],,"['stars', '_5']",4 934,0.7%,1,2020,
Учительница	  A Teacher,https://myshows.me/view/69217/,['catalogTableSubHeader'],,"['stars', '_4']",4 586,0.65%,1,2020,
Хелстром  Helstrom,https://myshows.me/view/68069/,['catalogTableSubHeader'],,"['stars', '_3']",4 537,0.64%,1,2020,
"Я знаю, что это правда  I Know This Much is True",https://myshows.me/view/65800/,['catalogTableSubHeader'],,"['stars', '_4']",4 432,0.63%,1,2020,
"Король тигров: Убийство, хаос и безумие  Tiger King: Murder, Mayhem and Madness",https://myshows.me/view/65900/,['catalogTableSubHeader'],,"['stars', '_4']",4 203,0.6%,1,2020,
Допрос  Interrogation,https://myshows.me/view/64714/,['catalogTableSubHeader'],,"['stars', '_4']",3 968,0.56%,1,2020,
Белые линии  White Lines,https://myshows.me/view/66651/,['catalogTableSubHeader'],,"['stars', '_4']",3 506,0.5%,1,2020,
Молодые охотницы за головами  Teenage Bounty Hunters,https://myshows.me/view/68274/,['catalogTableSubHeader'],,"['stars', '_4']",3 258,0.46%,1,2020,
Вдали  Away,https://myshows.me/view/67955/,['catalogTableSubHeader'],,"['stars', '_4']",3 143,0.45%,1,2020,
Кто-то должен умереть  Alguien tiene que morir,https://myshows.me/view/69222/,['catalogTableSubHeader'],,"['stars', '_3']",2 927,0.42%,1,2020,
Самая опасная игра  Most Dangerous Game,https://myshows.me/view/65538/,['catalogTableSubHeader'],,"['stars', '_4']",2 902,0.41%,1,2020,
Лига Октября   October Faction,https://myshows.me/view/64688/,['catalogTableSubHeader'],,"['stars', '_3']",2 813,0.4%,1,2020,
Линкольн Райм: Охота на Собирателя костей  Lincoln Rhyme: Hunt for the Bone Collector,https://myshows.me/view/64286/,['catalogTableSubHeader'],,"['stars', '_4']",2 772,0.39%,1,2020,
Искатели правды  Truth Seekers,https://myshows.me/view/69576/,['catalogTableSubHeader'],,"['stars', '_4']",2 657,0.38%,1,2020,
50 штатов страха	  50 States of Fright,https://myshows.me/view/66028/,['catalogTableSubHeader'],,"['stars', '_3']",2 573,0.37%,2,2020,
Некст   neXt,https://myshows.me/view/68176/,['catalogTableSubHeader'],,"['stars', '_4']",2 374,0.34%,1,2020,
Утопия  Utopia,https://myshows.me/view/68734/,['catalogTableSubHeader'],,"['stars', '_3']",2 299,0.33%,1,2020,
Заговор против Америки  The Plot Against America,https://myshows.me/view/64774/,['catalogTableSubHeader'],,"['stars', '_3']",2 229,0.32%,1,2020,
Выжить   Survive,https://myshows.me/view/65524/,['catalogTableSubHeader'],,"['stars', '_3']",2 124,0.3%,1,2020,
Мадам Си Джей Уокер  Self Made: Inspired by the Life of Madam C.J. Walker,https://myshows.me/view/65533/,['catalogTableSubHeader'],,"['stars', '_4']",1 982,0.28%,1,2020,
Послания из другого мира  Dispatches from Elsewhere,https://myshows.me/view/64541/,['catalogTableSubHeader'],,"['stars', '_3']",1 724,0.24%,1,2020,
Кипо и эра чудесных зверей  Kipo and the Age of Wonderbeasts,https://myshows.me/view/65057/,['catalogTableSubHeader'],,"['stars', '_4']",1 649,0.23%,3,2020,
ЭйДжэй и королева  AJ and the Queen,https://myshows.me/view/64583/,['catalogTableSubHeader'],,"['stars', '_4']",1 622,0.23%,1,2020,
Бар «Эдди»  The Eddy,https://myshows.me/view/64532/,['catalogTableSubHeader'],,"['stars', '_4']",1 610,0.23%,1,2020,
Птичка Господа милосердного  The Good Lord Bird,https://myshows.me/view/63097/,['catalogTableSubHeader'],,"['stars', '_4']",1 609,0.23%,1,2020,
Французская революция  La Révolution,https://myshows.me/view/69357/,['catalogTableSubHeader'],,"['stars', '_3']",1 557,0.22%,1,2020,
Арес   Ares,https://myshows.me/view/64226/,['catalogTableSubHeader'],,"['stars', '_3']",1 486,0.21%,1,2020,
В густом лесу  W głębi lasu,https://myshows.me/view/67153/,['catalogTableSubHeader'],,"['stars', '_3']",1 477,0.21%,1,2020,
Бесстыжие: зал позора  Shameless: Hall of Shame,https://myshows.me/view/70936/,['catalogTableSubHeader'],,"['stars', '_4']",1 476,0.21%,1,2020,
Кукла  Dummy,https://myshows.me/view/66285/,['catalogTableSubHeader'],,"['stars', '_3']",1 439,0.2%,1,2020,
Потерянный рай   Paradise Lost,https://myshows.me/view/65766/,['catalogTableSubHeader'],,"['stars', '_3']",1 389,0.2%,1,2020,
Все еще мертвы  Dead Still,https://myshows.me/view/66441/,['catalogTableSubHeader'],,"['stars', '_3']",1 229,0.17%,1,2020,
Правило Коми	  The Comey Rule,https://myshows.me/view/67607/,['catalogTableSubHeader'],,"['stars', '_4']",1 227,0.17%,1,2020,
Незнакомец  The Stranger,https://myshows.me/view/66106/,['catalogTableSubHeader'],,"['stars', '_3']",1 220,0.17%,1,2020,
Тернистый путь  Briarpatch,https://myshows.me/view/63422/,['catalogTableSubHeader'],,"['stars', '_3']",1 176,0.17%,1,2020,
Я исчезну во тьме  I'll Be Gone in the Dark,https://myshows.me/view/67101/,['catalogTableSubHeader'],,"['stars', '_3']",1 171,0.17%,1,2020,
Крепкий Харт  Die Hart,https://myshows.me/view/67887/,['catalogTableSubHeader'],,"['stars', '_3']",1 140,0.16%,1,2020,
Игра родом из Англии  The English Game,https://myshows.me/view/65744/,['catalogTableSubHeader'],,"['stars', '_4']",1 120,0.16%,1,2020,
Беглец  The Fugitive,https://myshows.me/view/65539/,['catalogTableSubHeader'],,"['stars', '_3']",1 098,0.16%,1,2020,
Неприлично богатые  Filthy Rich,https://myshows.me/view/68310/,['catalogTableSubHeader'],,"['stars', '_3']",1 041,0.15%,1,2020,
Заместитель  Deputy,https://myshows.me/view/64139/,['catalogTableSubHeader'],,"['stars', '_3']",1 029,0.15%,1,2020,
Джеффри Эпштейн: Грязный богач  Jeffrey Epstein: Filthy Rich,https://myshows.me/view/67039/,['catalogTableSubHeader'],,"['stars', '_4']",1 014,0.14%,1,2020,
Прежде чем замрёт твой взгляд  Where Your Eyes Linger,https://myshows.me/view/66674/,['catalogTableSubHeader'],,"['stars', '_4']",1 011,0.14%,1,2020,
Йоркширский потрошитель  The Ripper,https://myshows.me/view/70615/,['catalogTableSubHeader'],,"['stars', '_4']",981,0.14%,1,2020,
Пекарь и красавица  The Baker and the Beauty,https://myshows.me/view/65053/,['catalogTableSubHeader'],,"['stars', '_4']",960,0.14%,1,2020,
Чёрный нарцисс  Black Narcissus,https://myshows.me/view/69523/,['catalogTableSubHeader'],,"['stars', '_3']",918,0.13%,1,2020,
Кольца  Hoops,https://myshows.me/view/68132/,['catalogTableSubHeader'],,"['stars', '_4']",900,0.13%,1,2020,
"Моя любовь, Холо  My Holo Love",https://myshows.me/view/65181/,['catalogTableSubHeader'],,"['stars', '_4']",834,0.12%,1,2020,
МакМиллионы	  McMillion$,https://myshows.me/view/65095/,['catalogTableSubHeader'],,"['stars', '_4']",799,0.11%,1,2020,
BTS в лесу  In the SOOP,https://myshows.me/view/68747/,['catalogTableSubHeader'],,"['stars', '_5']",783,0.11%,1,2020,
Не копайся в себе  Don't Look Deeper,https://myshows.me/view/67445/,['catalogTableSubHeader'],,"['stars', '_3']",771,0.11%,1,2020,
Мёртвые земли   The Dead Lands,https://myshows.me/view/64607/,['catalogTableSubHeader'],,"['stars', '_3']",759,0.11%,1,2020,
Парни что надо  The Right Stuff,https://myshows.me/view/68766/,['catalogTableSubHeader'],,"['stars', '_3']",757,0.11%,1,2020,
Пандемия: Как предотвратить распространение  Pandemic: How to Prevent an Outbreak,https://myshows.me/view/65253/,['catalogTableSubHeader'],,"['stars', '_4']",719,0.1%,1,2020,
В меньшинстве  OutMatched,https://myshows.me/view/64184/,['catalogTableSubHeader'],,"['stars', '_3']",719,0.1%,1,2020,
68 Виски  68 Whiskey,https://myshows.me/view/64482/,['catalogTableSubHeader'],,"['stars', '_4']",713,0.1%,1,2020,
Мистер Сердце  Mr. Heart,https://myshows.me/view/69078/,['catalogTableSubHeader'],,"['stars', '_4']",655,0.09%,1,2020,
Томми  Tommy,https://myshows.me/view/64309/,['catalogTableSubHeader'],,"['stars', '_3']",581,0.08%,1,2020,
Новое имя в моде  Next in Fashion,https://myshows.me/view/65072/,['catalogTableSubHeader'],,"['stars', '_4']",574,0.08%,1,2020,
Когда горят фонари	  When the Streetlights Go On,https://myshows.me/view/66218/,['catalogTableSubHeader'],,"['stars', '_3']",568,0.08%,1,2020,
Чирлидеры  Cheer,https://myshows.me/view/65042/,['catalogTableSubHeader'],,"['stars', '_4']",558,0.08%,1,2020,
Проклятые фильмы  Cursed Films,https://myshows.me/view/65816/,['catalogTableSubHeader'],,"['stars', '_3']",529,0.08%,1,2020,
Деревянная кожа   Barkskins,https://myshows.me/view/66703/,['catalogTableSubHeader'],,"['stars', '_4']",508,0.07%,1,2020,
Бродячая королева  Vagrant Queen,https://myshows.me/view/65579/,['catalogTableSubHeader'],,"['stars', '_3']",504,0.07%,1,2020,
Ремонт  Flipped,https://myshows.me/view/65535/,['catalogTableSubHeader'],,"['stars', '_3']",487,0.07%,1,2020,
Без связи  Wireless,https://myshows.me/view/68394/,['catalogTableSubHeader'],,"['stars', '_2']",482,0.07%,1,2020,
Восход Османской империи   Rise of Empires: Ottoman,https://myshows.me/view/65154/,['catalogTableSubHeader'],,"['stars', '_4']",481,0.07%,1,2020,
Авторский гонорар  Royalties,https://myshows.me/view/67168/,['catalogTableSubHeader'],,"['stars', '_3']",440,0.06%,1,2020,
Город страха: Нью-Йорк против мафии   Fear City: New York vs The Mafia,https://myshows.me/view/68061/,['catalogTableSubHeader'],,"['stars', '_4']",424,0.06%,1,2020,
Очередной финал  Ending Again,https://myshows.me/view/65509/,['catalogTableSubHeader'],,"['stars', '_4']",414,0.06%,1,2020,
Детстроук: Рыцари и Драконы  Deathstroke: Knights & Dragons,https://myshows.me/view/65027/,['catalogTableSubHeader'],,"['stars', '_4']",409,0.06%,1,2020,
Желаю тебя: Твоя мелодия в моём сердце  Wish You,https://myshows.me/view/70678/,['catalogTableSubHeader'],,"['stars', '_4']",403,0.06%,1,2020,
УРА! Хаос в общаге  YYY,https://myshows.me/view/66614/,['catalogTableSubHeader'],,"['stars', '_4']",395,0.06%,2,2020,
Trial By Media  ,https://myshows.me/view/66405/,['catalogTableSubHeader'],,"['stars', '_4']",391,0.06%,1,2020,
Оникс: Равноденствие  Onyx Equinox,https://myshows.me/view/67764/,['catalogTableSubHeader'],,"['stars', '_4']",381,0.05%,1,2020,
Ограбление века  El robo del siglo,https://myshows.me/view/68517/,['catalogTableSubHeader'],,"['stars', '_4']",373,0.05%,1,2020,
Любовь инженеров: Тоссара  En of Love: Tossara,https://myshows.me/view/65485/,['catalogTableSubHeader'],,"['stars', '_3']",372,0.05%,1,2020,
Освободитель  The Liberator,https://myshows.me/view/69982/,['catalogTableSubHeader'],,"['stars', '_4']",370,0.05%,1,2020,
Невеста призрака  The Ghost Bride,https://myshows.me/view/64827/,['catalogTableSubHeader'],,"['stars', '_3']",363,0.05%,1,2020,
Долгий путь наверх  Long Way Up,https://myshows.me/view/68409/,['catalogTableSubHeader'],,"['stars', '_4']",349,0.05%,1,2020,
Исчезновения и убийства в Атланте: Пропавшие дети  Atlanta's Missing and Murdered: The Lost Children,https://myshows.me/view/66222/,['catalogTableSubHeader'],,"['stars', '_4']",346,0.05%,1,2020,
Все или ничего: Тоттенхэм Хотспур  All or Nothing: Tottenham Hotspur,https://myshows.me/view/68653/,['catalogTableSubHeader'],,"['stars', '_4']",334,0.05%,1,2020,
Ночь на Земле  Night on Earth,https://myshows.me/view/65313/,['catalogTableSubHeader'],,"['stars', '_4']",318,0.05%,1,2020,
Королева Соно  Queen Sono,https://myshows.me/view/64659/,['catalogTableSubHeader'],,"['stars', '_3']",278,0.04%,1,2020,
Любимцы Мидаса  Los Favoritos de Midas,https://myshows.me/view/70350/,['catalogTableSubHeader'],,"['stars', '_3']",271,0.04%,1,2020,
Мэйплворт расследует убийства  Mapleworth Murders,https://myshows.me/view/67454/,['catalogTableSubHeader'],,"['stars', '_2']",264,0.04%,1,2020,
Партизан  Partisan,https://myshows.me/view/68287/,['catalogTableSubHeader'],,"['stars', '_3']",232,0.03%,1,2020,
Фьорды Мальборо Саунд  The Sounds,https://myshows.me/view/68681/,['catalogTableSubHeader'],,"['stars', '_3']",228,0.03%,1,2020,
Фармацевт  The Pharmacist,https://myshows.me/view/65345/,['catalogTableSubHeader'],,"['stars', '_4']",221,0.03%,1,2020,
Момент: Ты нужен мне  The Moment,https://myshows.me/view/65655/,['catalogTableSubHeader'],,"['stars', '_3']",219,0.03%,2,2020,
Внутри убийцы: разум Аарона Эрнандеса  Killer Inside: The Mind of Aaron Hernandez,https://myshows.me/view/64791/,['catalogTableSubHeader'],,"['stars', '_4']",217,0.03%,1,2020,
...И в бедности  Broke,https://myshows.me/view/65369/,['catalogTableSubHeader'],,"['stars', '_3']",214,0.03%,1,2020,
Любовь во время коронавируса  Love in the Time of Corona,https://myshows.me/view/68222/,['catalogTableSubHeader'],,"['stars', '_4']",213,0.03%,1,2020,
Школьная медсестра Ан Ын Ён  The School Nurse Files,https://myshows.me/view/68826/,['catalogTableSubHeader'],,"['stars', '_3']",209,0.03%,1,2020,
Тед Банди: Влюбиться в убийцу  Ted Bundy: Falling for a Killer,https://myshows.me/view/64701/,['catalogTableSubHeader'],,"['stars', '_4']",206,0.03%,1,2020,
Миддлдитч и Шварц  Middleditch & Schwartz,https://myshows.me/view/66594/,['catalogTableSubHeader'],,"['stars', '_5']",199,0.03%,1,2020,
Совет отцов  Council of Dads,https://myshows.me/view/65735/,['catalogTableSubHeader'],,"['stars', '_4']",191,0.03%,1,2020,
Мой день  My Day the Series,https://myshows.me/view/68522/,['catalogTableSubHeader'],,"['stars', '_4']",188,0.03%,1,2020,
Расширяющаяся вселенная Эшли Гарсиа  The Expanding Universe of Ashley Garcia,https://myshows.me/view/65578/,['catalogTableSubHeader'],,"['stars', '_4']",185,0.03%,1,2020,
Что случилось в Рождество  ÜberWeihnachten,https://myshows.me/view/70466/,['catalogTableSubHeader'],,"['stars', '_4']",184,0.03%,1,2020,
Любовь ручной работы  Handmade Love,https://myshows.me/view/70909/,['catalogTableSubHeader'],,"['stars', '_4']",182,0.03%,1,2020,
Стереоскоп  Stereoscope,https://myshows.me/view/69298/,['catalogTableSubHeader'],,"['stars', '_3']",178,0.03%,1,2020,
Джастин Бибер: Времена года  Justin Bieber: Seasons,https://myshows.me/view/65067/,['catalogTableSubHeader'],,"['stars', '_4']",176,0.02%,1,2020,
Кровавые машины  Blood Machines,https://myshows.me/view/67214/,['catalogTableSubHeader'],,"['stars', '_4']",175,0.02%,1,2020,
